Kernel name,Instrumented,Fuzzed
ReverseSequenceOp,1,1
ReverseV2Op,1,1
RGBToHSVOp,1,1
RiscAbsOp,1,0
RiscAddOp,1,0
RiscBinaryArithmeticOp,1,0
RiscBinaryComparisonOp,1,0
RiscBitcastOp,1,0
RiscBroadcastOp,1,0
RiscCastOp,1,0
RiscCeilOp,1,0
RiscCholeskyOp,1,0
RiscConcatOp,1,0
RiscConditionOp,1,0
RiscConvOp,1,0
RiscCosOp,1,0
RiscDivOp,1,0
RiscDotOp,1,0
RiscExpOp,1,0
RiscFftOp,1,0
RiscFloorOp,1,0
RiscGatherOp,1,0
RiscImagOp,1,0
RiscIsFiniteOp,1,0
RiscLogicalAndOp,1,0
RiscLogicalNotOp,1,0
RiscLogicalOrOp,1,0
RiscLogOp,1,0
RiscMaxOp,1,0
RiscMinOp,1,0
RiscMulOp,1,0
RiscNegOp,1,0
RiscPadOp,1,0
RiscPoolOp,1,0
RiscPowOp,1,0
RiscRandomUniformOp,1,0
RiscRealOp,1,0
RiscReduceOp,1,0
RiscRemOp,1,0
RiscReshapeOp,1,0
RiscReverseOp,1,0
RiscScatterOp,1,0
RiscShapeOp,1,0
RiscSignOp,1,0
RiscSliceOp,1,0
RiscSortOp,1,0
RiscSqueezeOp,1,0
RiscTransposeOp,1,0
RiscTriangularSolveOp,1,0
RiscUnaryOp,1,0
RiscWhileOp,1,0
RngSkipOp,1,0
RollOp,1,1
SaveOp,1,1
SaveSlicesOp,1,1
SaveV2,1,1
ScaleAndTranslateGradOp,1,1
ScaleAndTranslateOp,1,1
ScanOp,1,1
ScatterNdOp,1,1
ScatterNdUpdateOp,0,0
ScatterUpdateOp,0,0
ScopedAllocatorConcatOp,1,1
ScopedAllocatorOp,1,1
ScopedAllocatorSplitOp,1,1
SdcaFprint,1,0
SdcaOptimizer,1,0
SdcaShrinkL1,1,0
SegmentReductionOp,1,1
SelectOp,1,1
SelectV2Op,1,1
SendOp,1,1
SerializeIteratorOp,1,0
SerializeManySparseOp,1,1
SerializeSparseOp,1,1
SerializeTensorOp,1,1
SetOperationOp,0,0
SetSizeOp,0,0
ShapeNOp,1,1
ShapeOp,1,1
ShardedFilenameOp,1,1
ShardedFilespecOp,1,1
SimpleBinaryOp,1,1
SizeOp,1,1
SkipgramOp,0,0
SliceOp,1,1
SnapshotOp,1,1
SobolSampleOp,1,1
SoftmaxOp,1,1
SoftmaxXentWithLogitsOp,1,1
SpaceToBatchNDOp,1,1
SpaceToBatchOp,1,0
SpaceToDepthOp,1,1
SparseAddGradOp,1,1
SparseAddOp,1,1
SparseApplyAdadeltaOp,0,0
SparseApplyAdagradDAOp,0,0
SparseApplyAdagradOp,0,0
SparseApplyAdagradV2Op,0,0
SparseApplyCenteredRMSPropOp,0,0
SparseApplyFtrlOp,0,0
SparseApplyKerasMomentumOp,0,0
SparseApplyMomentumOp,0,0
SparseApplyProximalAdagradOp,0,0
SparseApplyProximalGradientDescentOp,0,0
SparseApplyRMSPropOp,0,0
SparseBincountOp,1,1
SparseConcatOp,1,1
SparseCount,1,1
SparseCrossHashedOp,1,1
SparseCrossOp,1,1
SparseCrossV2Op,1,1
SparseDenseBinaryOpShared,1,1
SparseFillEmptyRowsGradOp,1,1
SparseFillEmptyRowsOp,1,1
SparseMatMulOp,1,1
SparseReduceOp,1,1
SparseReduceSparseOp,1,1
SparseReorderOp,1,1
SparseReshapeOp,1,1
SparseSegmentGradOpBase,1,1
SparseSegmentReductionOpBase,1,1
SparseSliceGradOp,1,1
SparseSliceOp,1,1
SparseSoftmaxOp,1,1
SparseSoftmaxXentWithLogitsOp,1,1
SparseSparseBinaryOpShared,1,1
SparseSplitOp,1,1
SparseTensorDenseAddOp,1,1
SparseTensorDenseMatMulOp,1,1
SparseTensorToCSRSparseMatrixCPUOp,1,1
SparseToDense,1,1
SplitOpCPU,1,1
SplitVOpCPU,1,1
SqueezeOp,1,1
StackCloseOp,1,0
StackOp,0,0
StageClearOp,1,1
StageOp,1,1
StagePeekOp,1,1
StageSizeOp,1,1
StatefulMultinomialOp,1,1
StatefulRandomOp,1,0
StatefulRandomOpV2,1,0
StatefulSampleDistortedBoundingBoxOp,1,1
StatefulUniformFullIntOp,1,0
StatefulUniformIntOp,1,0
StatelessMultinomialOp,1,1
StatelessParameterizedTruncatedNormal,1,1
StatelessRandomBinomialOp,1,1
StatelessRandomGammaOp,1,0
StatelessRandomOpBase,1,1
StatelessSampleDistortedBoundingBoxOp,1,1
StaticRegexFullMatchOp,1,1
StaticRegexReplaceOp,1,1
